,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
18706,Toyota,Hilux,2014,Silver,3000000,Kenyan Used,Automatic,120000.0
18707,Toyota,Land,2010,White,3300000,Kenyan Used,Automatic,
18708,Toyota,Mark,2008,Green,780000,Kenyan Used,Automatic,187000.0
18709,Jeep,Grand,2011,Gold,2400000,Kenyan Used,Automatic,97376.0
18710,Nissan,Note,2013,Silver,680000,Kenyan Used,Automatic,
18711,Toyota,TownAce,2005,White,795000,Kenyan Used,Automatic,105686.0
18712,Honda,Fit,2013,White,935000,Kenyan Used,Automatic,102606.0
18713,Mazda,CX-5,2016,White,2650000,Foreign Used,Automatic,
18716,Honda,Fit,2016,White,1489999,Foreign Used,Automatic,
18717,Mazda,CX-5,2017,Silver,2500000,Foreign Used,Automatic,56147.0
18718,Mazda,Atenza,2015,Red,2090000,Foreign Used,Automatic,127000.0
18719,Toyota,Axio,2016,Silver,1680000,Foreign Used,Automatic,62000.0
18720,Toyota,Avensis,2016,Black,2150000,Foreign Used,Automatic,92000.0
18721,Mercedes-Benz,C180,2013,White,2150000,Kenyan Used,Automatic,123000.0
18722,Mitsubishi,L200,2004,White,620000,Kenyan Used,Manual,
18723,Volkswagen,Touareg,2012,Blue,3350000,Kenyan Used,Automatic,108000.0
18724,Toyota,Corolla,2013,White,1090000,Kenyan Used,Automatic,
18725,Toyota,Corolla,2016,Black,1850000,Foreign Used,Automatic,77000.0
18726,Nissan,Navara,2021,Silver,5500000,Kenyan Used,Automatic,32147.0
18727,Mercedes-Benz,E300,2010,Silver,2190000,Kenyan Used,Automatic,
18728,Subaru,Forester,2008,White,1370000,Kenyan Used,Automatic,
18729,Toyota,Corolla,2011,White,995000,Kenyan Used,Automatic,133000.0
18730,Mitsubishi,L200,2004,White,620000,Kenyan Used,Manual,
18731,Toyota,Vitz,2011,Black,550000,Kenyan Used,Automatic,113256.0
18732,Suzuki,Swift,2017,White,1600000,Foreign Used,Automatic,70000.0
18733,Land,Rover,2016,Gray,5200000,Foreign Used,Automatic,
18734,Land,Rover,2014,Black,5790000,Foreign Used,Automatic,
18735,Toyota,Corolla,2016,Silver,1550000,Kenyan Used,Automatic,60458.0
18736,Toyota,Corolla,2016,Red,999999,Kenyan Used,Automatic,100607.0
18737,Toyota,Vitz,2016,White,700000,Kenyan Used,Automatic,177080.0
18738,Toyota,Probox,2016,White,699999,Kenyan Used,Automatic,137000.0
18739,Mercedes-Benz,C200,1997,Black,360000,Kenyan Used,Manual,136588.0
18740,Toyota,Land,2010,White,3480000,Kenyan Used,Automatic,115896.0
18741,Volkswagen,Golf,2016,Blue,1690000,Kenyan Used,Automatic,102700.0
